adjectives ,verbs,"If ___ then ___, otherwise ___.","some people get ___, others have to ___.","“When I ___, the system ___.”","“If I can't see ___, I can't tell whether ___.”",oneWord
Anxious,Quick,"if the elevator comes then i ride it, otherwise i take the stairs","some people are able walk up the stairs, others have to wait for the elevator","When I turn up the heat, the onions get crispy","If I can't see the orzo,I can't tell whether it is ready",
Boring,shiver,"if it's cold outside I wear a jacket, otherwise I wear a t-shirt","Some people have 20/20 vision, others have to wear glasses",When I press play the game starts.  ,"If I can't see out the window, I can't tell what the weather is like.",excting
Breakfast,energize,"if the bus comes soon then I ride it, otherwise I walk.",,"When I obtain a library card, the system allows me to rent books.","If I cant see the clock, I cant tell whether it's time for me to leave or not.",cold
Busy,hustle,"If the the walk sign does not turn white then I remain on the coner waiting, otherwise I would walk across the street. ","Some people get opportunities, others have to create them",When I go to class the systems lets me graduate,"If I can't see the temeperature display on the oven, I can't tell whether it's hot enough.",calm
Busy,run ,"if the bus comes on time i take it, otherwise i'll walk up the hill","some people can drive themselves to work, others have to take public transit","When I have too many tabs open, the system buffers. ","If I can't see the traffic light, I can't tell whether I should stop or go.",Irritating 
Cold,bundle,"If it is snowing outside, then I put on a jacket. If it is too cold, then I go inside",some people get lucky others have to work for it ,,"If I can't see the water bubbling, I can't tell whether it's boiling or not.",
Cold,freeze,If my coffee machine works then I am drinking coffee at home otherwise I am driving out for a coffee run,,"When I pay, the system allows me to get my coffee made. ","If I can't see my order details, I can't tell if my package was ordered. ",energized (somewhat)
Cold,Relax,"if the bus comes on time, I take it, otherwise I call an uber.","some people get to live in a home, others have to live on the streets",,"If the page doesn’t load, I can’t see the website",exhausted
Cold,crying,"If I am hungry then I look for food, otherwise I starve",,"When I open safari, the system buffers ","if I can't see hightlight or something over a button, I can't tell whether I am clicking the button or not",
Cold,Bloom,"If the sun shines, then I bloom, otherwise I stay still","Some bees get the nectar, others have to struggle or starve","When the sun is out, the flower blooms","If I can't see the light, I can't tell whether the sun is out",Sleepy
Cold,settle,"if the bus is on time then I ride it, otherwise I walk to campus",,"when I call the insurance company, I have to go through many prompts to get connected.","If I can't see the prompt/control, I cant tell whether I'm supposed to do something",Groggy
Cold,organize,"if my alarm goes off then i wake up, otherwise i sleep in.",,,,aggravating
cozy,Commuting ,If there is no traffic then I arrive to school on time otherwise I am late,,,If I can't see my notifications I can't tell if someone is trying to contact me,
Early,disperse,"If I'm tired then I'll sleep, otherwise I'll stay up",,,,mellow
Early,Snooze,"If my watch is charged ill take it for the day, otherwise ill put it on my charger","Some people get the lesson on the first try, others have to practice to get it.",,,Cold
Early,Chillin,,,,,Freezing
Early,meander,,"Some people drive a car, other peope have to take public transit",,"If I can't see the recipe, I can't tell whether I'm cooking properly",Chill
Exciting,Sleep,,,,,
Exhausting,Tire,,"Some people get to eat penuts, others have to avoid them",,"If I can't see my keyboard, I can't tell whether or not I am typing correctly.",
Fast,talk,,"Some people get support automatically, others have to ask for it.",,,
frustrating,,,,,,
Hungry,,,"Some people get to drive to places, others have to take the bus.",,"If I can't see my phone screen, I can't tell whether the call went through.",hungry
Inconsiderate,,,"Some people get money, others have to work a job",,,rushed
Loud,,,"Some people get to relax, others have to go to school.",,,
Manageable,,,,When I ,,
Peacefull,,,,,,
Pleasant,,,"Some people get allowance, others have to get a job",,,
Quiet,,,,When I click the system does not respond,,
Regimented,,,"some people get clean water from their tap, while others have to travel miles for water.",,,
Relaxing,,,,When I press ctrl+z the system undoes something,,
Routine,,,"some people get clean water from their tap, while others have to travel miles for water.",,,
Rushed,,,,,,
Rushed,,,,,,
Rushed,,,,,,
Sick,,,,,,
Sleepy,,,,,,
Sleepy,,,,,,
Sleepy,,,,,,
Slow,,,,,,
stressful,,,,,,
Thoughtful,,,,,,
Tired,,,,,,
Tired,,,,,,
tiring,,,,,,
Tiring,,,,,,
Tiring,,,,,,
Traffic-filled,,,,,,
warm,,,,,,
Wordy,,,,,,
,,,,,"If I can't see the small car parked in the lot, I can't tell whether the spot is free",
